"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.489000000E-2,-2.200622610E1,-4.790280940E1,NaN,NaN,NaN,4.793450012E2,0.000000000E0
7.187957290E-1,-2.200705991E1,-4.789735514E1,8.446489996E2,1.129999995E0,2.685000000E2,3.869837284E0,4.702062607E0
1.093330937E0,-2.200705127E1,-4.789737708E1,8.465964191E2,1.549999952E0,2.741000061E2,3.875077486E0,4.003944397E0
2.093083437E0,-2.200705121E1,-4.789738933E1,8.472220441E2,1.080000043E0,2.735000000E2,4.811236858E0,5.305911541E0
3.092930780E0,-2.200703644E1,-4.789736695E1,8.417864803E2,1.220000029E0,2.690000000E2,3.790092468E0,3.707976103E0
4.092923124E0,-2.200703435E1,-4.789737876E1,8.364494596E2,1.279999971E0,2.695000000E2,3.916226625E0,3.065206289E0
5.093409061E0,-2.200702763E1,-4.789739319E1,8.367992127E2,1.419999957E0,2.810000000E2,3.790092468E0,2.500000000E0
6.093657185E0,-2.200701721E1,-4.789739703E1,8.366097710E2,1.169999957E0,2.818999939E2,3.790092468E0,2.500000000E0
7.093120935E0,-2.200699639E1,-4.789739904E1,8.361478731E2,1.299999952E0,2.823999939E2,3.790092468E0,2.500000000E0
8.093198747E0,-2.200698390E1,-4.789740179E1,8.361884120E2,1.259999990E0,3.481000061E2,3.790092468E0,2.500000000E0
9.092986663E0,-2.200696898E1,-4.789740139E1,8.361928159E2,1.370000005E0,3.547000122E2,3.790092468E0,2.500000000E0
1.009385265E1,-2.200695592E1,-4.789740132E1,8.360526878E2,1.299999952E0,3.573999939E2,3.790092468E0,2.500000000E0
1.109375531E1,-2.200694279E1,-4.789740113E1,8.364040146E2,1.240000010E0,3.522000122E2,3.790092468E0,2.500000000E0
1.209305651E1,-2.200692879E1,-4.789740057E1,8.367000437E2,1.230000019E0,3.533999939E2,3.790092468E0,2.500000000E0
1.309303875E1,-2.200691367E1,-4.789740017E1,8.369777632E2,1.399999976E0,3.538999939E2,3.790092468E0,2.500000000E0
1.409345171E1,-2.200689877E1,-4.789739901E1,8.372949103E2,1.350000024E0,3.570000000E2,3.790092468E0,2.500000000E0
1.509336328E1,-2.200688491E1,-4.789739722E1,8.369912065E2,1.299999952E0,6.999999881E-1,3.790092468E0,2.500000000E0
1.609328093E1,-2.200687030E1,-4.789739515E1,8.372908963E2,1.379999995E0,5.400000095E0,3.790092468E0,2.500000000E0
1.709304213E1,-2.200685602E1,-4.789739368E1,8.375256452E2,1.360000014E0,5.199999809E0,3.790092468E0,2.500000000E0
1.809397468E1,-2.200684144E1,-4.789739319E1,8.376430859E2,1.379999995E0,1.100000024E0,3.790092468E0,2.500000000E0
1.909335015E1,-2.200682650E1,-4.789739442E1,8.377076724E2,1.320000052E0,3.556000061E2,3.790092468E0,2.500000000E0
2.009386374E1,-2.200681372E1,-4.789739522E1,8.378053381E2,1.279999971E0,3.562999878E2,3.790092468E0,2.500000000E0
2.109318265E1,-2.200680075E1,-4.789739661E1,8.379568376E2,1.289999962E0,3.535000000E2,3.790092468E0,2.500000000E0
2.209394405E1,-2.200678971E1,-4.789739590E1,8.377969319E2,1.279999971E0,3.577999878E2,3.790092468E0,2.500000000E0
2.309369484E1,-2.200677842E1,-4.789739437E1,8.376138321E2,1.330000043E0,8.000000119E-1,3.790092468E0,2.500000000E0
2.409337843E1,-2.200676809E1,-4.789739163E1,8.374708914E2,1.279999971E0,3.400000095E0,3.790092468E0,2.500000000E0
2.509379093E1,-2.200675688E1,-4.789738949E1,8.376334939E2,1.330000043E0,2.900000095E0,3.790092468E0,2.500000000E0
2.609339452E1,-2.200674484E1,-4.789738863E1,8.375889452E2,1.360000014E0,3.597000122E2,3.790092468E0,2.500000000E0
2.709391015E1,-2.200673316E1,-4.789738976E1,8.375564835E2,1.299999952E0,3.535000000E2,3.790092468E0,2.500000000E0
2.809348650E1,-2.200672137E1,-4.789739073E1,8.381321761E2,1.279999971E0,3.556000061E2,3.790092468E0,2.500000000E0
2.909318400E1,-2.200670863E1,-4.789739114E1,8.382254467E2,1.379999995E0,3.595000000E2,3.790092468E0,2.500000000E0
3.009370103E1,-2.200669667E1,-4.789739150E1,8.382620762E2,1.289999962E0,2.400000095E0,3.790092468E0,2.500000000E0
3.109332140E1,-2.200668405E1,-4.789739218E1,8.382420658E2,1.370000005E0,3.587999878E2,3.790092468E0,2.500000000E0
3.209349796E1,-2.200667177E1,-4.789739271E1,8.382811370E2,1.330000043E0,3.585000000E2,3.790092468E0,2.500000000E0
3.309297358E1,-2.200665905E1,-4.789739335E1,8.383418152E2,1.399999976E0,3.571000061E2,3.790092468E0,2.500000000E0
3.409371733E1,-2.200664550E1,-4.789739232E1,8.381870378E2,1.460000038E0,4.000000000E0,3.790092468E0,2.500000000E0
3.509363561E1,-2.200663520E1,-4.789739169E1,8.380770585E2,1.149999976E0,3.592000122E2,3.790092468E0,2.500000000E0
3.609376889E1,-2.200662345E1,-4.789738990E1,8.383276745E2,1.360000014E0,1.799999952E0,3.790092468E0,2.500000000E0
3.709393296E1,-2.200661250E1,-4.789738880E1,8.384175242E2,1.259999990E0,3.555000000E2,3.790092468E0,2.500000000E0
3.809340670E1,-2.200660084E1,-4.789738765E1,8.383676037E2,1.360000014E0,1.000000015E-1,3.790092468E0,2.500000000E0
3.909338514E1,-2.200658983E1,-4.789738573E1,8.383119447E2,1.299999952E0,1.200000048E0,3.790092468E0,2.500000000E0
4.009345686E1,-2.200657860E1,-4.789738496E1,8.382286992E2,1.309999943E0,3.591000061E2,3.790092468E0,2.500000000E0
4.109312071E1,-2.200656687E1,-4.789738565E1,8.384080291E2,1.340000033E0,3.557999878E2,3.790092468E0,2.500000000E0
4.209323545E1,-2.200655471E1,-4.789738667E1,8.386858704E2,1.309999943E0,3.591000061E2,3.790092468E0,2.500000000E0
4.309350571E1,-2.200654171E1,-4.789738746E1,8.385146153E2,1.379999995E0,4.300000191E0,3.790092468E0,2.500000000E0
4.409395358E1,-2.200652817E1,-4.789738818E1,8.384220958E2,1.330000043E0,3.400000095E0,3.790092468E0,2.500000000E0
4.509304399E1,-2.200651552E1,-4.789739224E1,8.383864645E2,1.250000000E0,3.578999939E2,3.790092468E0,2.500000000E0
4.609321811E1,-2.200650313E1,-4.789739608E1,8.383134792E2,1.289999962E0,3.576000061E2,3.790092468E0,2.500000000E0
4.709301295E1,-2.200649056E1,-4.789739834E1,8.382387832E2,1.330000043E0,3.541000061E2,3.790092468E0,2.500000000E0
4.809392342E1,-2.200647818E1,-4.789740009E1,8.381748286E2,1.350000024E0,3.548999939E2,3.790092468E0,2.500000000E0
4.909378649E1,-2.200646571E1,-4.789740067E1,8.378769860E2,1.350000024E0,3.575000000E2,3.790092468E0,2.500000000E0
5.009374446E1,-2.200645370E1,-4.789740065E1,8.376395672E2,1.299999952E0,3.572999878E2,3.790092468E0,2.500000000E0
5.109396061E1,-2.200644151E1,-4.789740163E1,8.376750988E2,1.309999943E0,3.562000122E2,3.790092468E0,2.500000000E0
5.209316998E1,-2.200643032E1,-4.789740256E1,8.370269140E2,1.250000000E0,3.545000000E2,3.790092468E0,2.500000000E0
5.309306305E1,-2.200641931E1,-4.789740372E1,8.367704529E2,1.289999962E0,3.537000122E2,3.790092468E0,2.500000000E0
5.409390493E1,-2.200640847E1,-4.789740518E1,8.365230253E2,1.320000052E0,3.503999939E2,3.790092468E0,2.500000000E0
5.509394670E1,-2.200639599E1,-4.789740725E1,8.364943495E2,1.399999976E0,3.503999939E2,3.790092468E0,2.500000000E0
5.609381935E1,-2.200638340E1,-4.789740982E1,8.365181646E2,1.309999943E0,3.520000000E2,3.790092468E0,2.500000000E0
5.709400498E1,-2.200636994E1,-4.789741208E1,8.366788207E2,1.419999957E0,3.538999939E2,3.790092468E0,2.500000000E0
5.809388998E1,-2.200635717E1,-4.789741306E1,8.367476780E2,1.340000033E0,3.580000000E2,3.790092468E0,2.500000000E0
5.909380576E1,-2.200634476E1,-4.789741276E1,8.366612601E2,1.320000052E0,2.700000048E0,3.790092468E0,2.500000000E0
6.009397670E1,-2.200633246E1,-4.789741203E1,8.369436160E2,1.250000000E0,5.599999905E0,3.790092468E0,2.500000000E0
6.109396477E1,-2.200632000E1,-4.789741010E1,8.369856141E2,1.289999962E0,9.000000000E0,3.790092468E0,2.500000000E0
6.209367321E1,-2.200630714E1,-4.789740783E1,8.370978026E2,1.350000024E0,7.699999809E0,3.790092468E0,2.500000000E0
6.309320404E1,-2.200629409E1,-4.789740681E1,8.372717602E2,1.330000043E0,3.099999905E0,3.790092468E0,2.500000000E0
6.409349576E1,-2.200628143E1,-4.789740876E1,8.372977718E2,1.279999971E0,3.500000000E2,3.790092468E0,2.500000000E0
6.509322810E1,-2.200627006E1,-4.789740870E1,8.374490244E2,1.299999952E0,4.000000060E-1,3.790092468E0,2.500000000E0
6.609326539E1,-2.200625782E1,-4.789740710E1,8.375273997E2,1.340000033E0,4.599999905E0,3.790092468E0,2.500000000E0
6.709352805E1,-2.200624573E1,-4.789740594E1,8.374713761E2,1.399999976E0,3.200000048E0,3.790092468E0,2.500000000E0
6.809376044E1,-2.200623475E1,-4.789740493E1,8.375077591E2,1.340000033E0,2.200000048E0,3.790092468E0,2.500000000E0
6.909382779E1,-2.200622246E1,-4.789740322E1,8.380067886E2,1.360000014E0,2.799999952E0,3.790092468E0,2.500000000E0
7.009337326E1,-2.200620985E1,-4.789740280E1,8.380954195E2,1.399999976E0,6.000000238E-1,3.790092468E0,2.500000000E0
7.109377888E1,-2.200619835E1,-4.789740266E1,8.380718674E2,1.320000052E0,8.000000119E-1,3.790092468E0,2.500000000E0
7.209401555E1,-2.200618765E1,-4.789740231E1,8.381296133E2,1.289999962E0,3.567999878E2,3.790092468E0,2.500000000E0
7.309326591E1,-2.200617620E1,-4.789740313E1,8.383473953E2,1.299999952E0,3.518999939E2,3.790092468E0,2.500000000E0
7.409320820E1,-2.200616337E1,-4.789740392E1,8.383395923E2,1.370000005E0,3.517999878E2,3.790092468E0,2.500000000E0
7.509319857E1,-2.200615152E1,-4.789740367E1,8.381635744E2,1.340000033E0,3.582999878E2,3.790092468E0,2.500000000E0
7.609315117E1,-2.200613997E1,-4.789740177E1,8.382387751E2,1.299999952E0,2.700000048E0,3.790092468E0,2.500000000E0
7.709325211E1,-2.200612861E1,-4.789740220E1,8.383955214E2,1.259999990E0,3.552999878E2,3.790092468E0,2.500000000E0
7.809337638E1,-2.200611807E1,-4.789740299E1,8.382673555E2,1.269999981E0,3.558999939E2,3.790092468E0,2.500000000E0
7.909352310E1,-2.200610775E1,-4.789740158E1,8.379704856E2,1.279999971E0,4.400000095E0,3.790092468E0,2.500000000E0
8.009370507E1,-2.200609726E1,-4.789740143E1,8.380464201E2,1.309999943E0,3.541000061E2,3.790092468E0,2.500000000E0
8.109346367E1,-2.200608585E1,-4.789740269E1,8.383196226E2,1.289999962E0,3.578999939E2,3.790092468E0,2.500000000E0
8.209302669E1,-2.200607366E1,-4.789740536E1,8.382645801E2,1.340000033E0,3.552999878E2,3.790092468E0,2.500000000E0
8.309334622E1,-2.200606121E1,-4.789740556E1,8.381028454E2,1.340000033E0,2.099999905E0,3.790092468E0,2.500000000E0
8.409377288E1,-2.200604866E1,-4.789740618E1,8.379051005E2,1.309999943E0,1.000000015E-1,3.790092468E0,2.500000000E0
8.509369387E1,-2.200603721E1,-4.789740799E1,8.377847489E2,1.309999943E0,3.547999878E2,3.790092468E0,2.500000000E0
8.609319231E1,-2.200602517E1,-4.789740943E1,8.375816336E2,1.259999990E0,3.507000122E2,3.790092468E0,2.500000000E0
8.709375575E1,-2.200601316E1,-4.789741247E1,8.377859909E2,1.299999952E0,3.450000000E2,3.790092468E0,2.500000000E0
8.809307028E1,-2.200600081E1,-4.789741341E1,8.375716447E2,1.289999962E0,3.525000000E2,3.790092468E0,2.500000000E0
8.909317997E1,-2.200598689E1,-4.789741395E1,8.375648186E2,1.409999967E0,3.543999939E2,3.790092468E0,2.500000000E0
9.009320200E1,-2.200597214E1,-4.789742019E1,8.363860028E2,1.320000052E0,3.426000061E2,3.790092468E0,2.500000000E0
9.109364304E1,-2.200595815E1,-4.789742556E1,8.362457596E2,1.330000043E0,3.472000122E2,3.790092468E0,2.500000000E0
9.209342366E1,-2.200594482E1,-4.789743241E1,8.358202395E2,1.269999981E0,3.350000000E2,3.790092468E0,2.500000000E0
9.309323840E1,-2.200593264E1,-4.789743613E1,8.353684698E2,1.350000024E0,3.457000122E2,3.790092468E0,2.500000000E0
9.409305366E1,-2.200592019E1,-4.789743983E1,8.350028818E2,1.389999986E0,3.460000000E2,3.790092468E0,2.500000000E0
9.509382007E1,-2.200590738E1,-4.789744460E1,8.347315336E2,1.440000057E0,3.437000122E2,3.790092468E0,2.500000000E0
9.609307950E1,-2.200589443E1,-4.789744991E1,8.341193659E2,1.500000000E0,3.403999939E2,3.790092468E0,2.500000000E0
9.709342059E1,-2.200588136E1,-4.789745284E1,8.338537530E2,1.470000029E0,3.495000000E2,3.790092468E0,2.500000000E0
9.809386684E1,-2.200586806E1,-4.789745452E1,8.336027873E2,1.399999976E0,3.492999878E2,3.790092468E0,2.500000000E0
9.909386731E1,-2.200585527E1,-4.789745656E1,8.336320950E2,1.470000029E0,3.466000061E2,3.790092468E0,2.500000000E0
1.000931166E2,-2.200584307E1,-4.789745802E1,8.336622562E2,1.409999967E0,3.498999939E2,3.790092468E0,2.500000000E0
1.010935998E2,-2.200583049E1,-4.789745821E1,8.336362638E2,1.409999967E0,3.552999878E2,3.790092468E0,2.500000000E0
1.020931548E2,-2.200581880E1,-4.789745856E1,8.336352954E2,1.399999976E0,3.547000122E2,3.790092468E0,2.500000000E0
1.030931843E2,-2.200580766E1,-4.789745962E1,8.333973890E2,1.350000024E0,3.502000122E2,3.790092468E0,2.500000000E0
1.040935991E2,-2.200579549E1,-4.789745975E1,8.333648044E2,1.389999986E0,3.595000000E2,3.790092468E0,2.500000000E0
1.050939564E2,-2.200578349E1,-4.789745947E1,8.332156421E2,1.360000014E0,3.577000122E2,3.790092468E0,2.500000000E0
1.060933423E2,-2.200577091E1,-4.789745986E1,8.331543716E2,1.389999986E0,3.588999939E2,3.790092468E0,2.500000000E0
1.070937457E2,-2.200575860E1,-4.789745971E1,8.329292819E2,1.330000043E0,3.590000000E2,3.790092468E0,2.500000000E0
1.080936513E2,-2.200574580E1,-4.789745829E1,8.329172037E2,1.360000014E0,4.599999905E0,3.790092468E0,2.500000000E0
1.090939591E2,-2.200573372E1,-4.789745796E1,8.329397943E2,1.350000024E0,3.595000000E2,3.790092468E0,2.500000000E0
1.100931926E2,-2.200572149E1,-4.789746052E1,8.327979598E2,1.379999995E0,3.542000122E2,3.790092468E0,2.500000000E0
1.110933850E2,-2.200570910E1,-4.789746314E1,8.325707982E2,1.419999957E0,3.500000000E2,3.790092468E0,2.500000000E0
1.120935784E2,-2.200569687E1,-4.789746831E1,8.323348505E2,1.460000038E0,3.383999939E2,3.790092468E0,2.500000000E0
1.130932324E2,-2.200568557E1,-4.789747591E1,8.323673378E2,1.419999957E0,3.297999878E2,3.790092468E0,2.500000000E0
1.140933487E2,-2.200567617E1,-4.789748608E1,8.324515846E2,1.370000005E0,3.198999939E2,3.790092468E0,2.500000000E0
1.150937258E2,-2.200566628E1,-4.789749436E1,8.323656635E2,1.320000052E0,3.250000000E2,3.790092468E0,2.500000000E0
1.160937734E2,-2.200565768E1,-4.789750424E1,8.323232005E2,1.340000033E0,3.148999939E2,3.790092468E0,2.500000000E0
1.170939255E2,-2.200564945E1,-4.789751479E1,8.324435798E2,1.269999981E0,3.132000122E2,3.790092468E0,2.500000000E0
1.180931685E2,-2.200563985E1,-4.789752568E1,8.324162553E2,1.370000005E0,3.153999939E2,3.790092468E0,2.500000000E0
1.190933942E2,-2.200562998E1,-4.789753642E1,8.323785549E2,1.460000038E0,3.192000122E2,3.790092468E0,2.500000000E0
1.200932501E2,-2.200561967E1,-4.789754627E1,8.326833830E2,1.389999986E0,3.195000000E2,3.790092468E0,2.500000000E0
1.210935051E2,-2.200560757E1,-4.789755275E1,8.327966800E2,1.309999943E0,3.372999878E2,3.790092468E0,2.500000000E0
1.220936080E2,-2.200559487E1,-4.789755469E1,8.327387073E2,1.350000024E0,3.563999939E2,3.790092468E0,2.500000000E0
1.230934917E2,-2.200558171E1,-4.789755470E1,8.328328322E2,1.409999967E0,3.597999878E2,3.790092468E0,2.500000000E0
1.240940027E2,-2.200556926E1,-4.789755365E1,8.329246361E2,1.340000033E0,1.799999952E0,3.790092468E0,2.500000000E0
1.250932109E2,-2.200555729E1,-4.789755306E1,8.326248386E2,1.379999995E0,3.578999939E2,3.790092468E0,2.500000000E0
1.260931735E2,-2.200554580E1,-4.789755255E1,8.324463788E2,1.370000005E0,8.000000119E-1,3.790092468E0,2.500000000E0
1.270930686E2,-2.200553265E1,-4.789755129E1,8.324007317E2,1.419999957E0,3.593999939E2,3.790092468E0,2.500000000E0
1.280930148E2,-2.200552080E1,-4.789755117E1,8.323965890E2,1.309999943E0,3.577000122E2,3.790092468E0,2.500000000E0
1.290930293E2,-2.200550947E1,-4.789755211E1,8.322193515E2,1.230000019E0,3.575000000E2,3.790092468E0,2.500000000E0
1.300933894E2,-2.200549839E1,-4.789755479E1,8.321868913E2,1.279999971E0,3.501000061E2,3.790092468E0,2.500000000E0
1.310935180E2,-2.200548665E1,-4.789755538E1,8.319774272E2,1.289999962E0,3.000000119E-1,3.790092468E0,2.500000000E0
1.320933534E2,-2.200547488E1,-4.789755572E1,8.319627869E2,1.220000029E0,3.570000000E2,3.790092468E0,2.500000000E0
1.330931617E2,-2.200546322E1,-4.789755570E1,8.319001725E2,1.309999943E0,3.599989929E2,3.790092468E0,2.500000000E0
1.340937399E2,-2.200545038E1,-4.789755526E1,8.316881444E2,1.389999986E0,3.581000061E2,3.790092468E0,2.500000000E0
1.350931421E2,-2.200543829E1,-4.789755619E1,8.314593937E2,1.299999952E0,3.558999939E2,3.790092468E0,2.500000000E0
1.360938394E2,-2.200542642E1,-4.789755567E1,8.314131363E2,1.309999943E0,1.600000024E0,3.790092468E0,2.500000000E0
1.370936628E2,-2.200541571E1,-4.789755522E1,8.311913411E2,1.159999967E0,1.000000000E0,3.790092468E0,2.500000000E0
1.380933885E2,-2.200540411E1,-4.789755431E1,8.310282618E2,1.299999952E0,2.000000000E0,3.790092468E0,2.500000000E0
1.390930989E2,-2.200539303E1,-4.789755437E1,8.308632301E2,1.230000019E0,3.587999878E2,3.790092468E0,2.500000000E0
1.400930981E2,-2.200538263E1,-4.789755480E1,8.307365285E2,1.190000057E0,3.585000000E2,3.790092468E0,2.500000000E0
1.410936922E2,-2.200537189E1,-4.789755442E1,8.306728145E2,1.279999971E0,3.576000061E2,3.790092468E0,2.500000000E0
1.420934730E2,-2.200536026E1,-4.789755366E1,8.303898623E2,1.279999971E0,2.000000030E-1,3.790092468E0,2.500000000E0
1.430937321E2,-2.200534792E1,-4.789755407E1,8.303261502E2,1.299999952E0,3.585000000E2,3.790092468E0,2.500000000E0
1.440934468E2,-2.200533564E1,-4.789755383E1,8.301762557E2,1.269999981E0,1.000000000E0,3.790092468E0,2.500000000E0
1.450936021E2,-2.200532393E1,-4.789755452E1,8.300861764E2,1.230000019E0,3.571000061E2,3.790092468E0,2.500000000E0
1.460937668E2,-2.200531134E1,-4.789755570E1,8.299068648E2,1.370000005E0,3.542000122E2,3.790092468E0,2.500000000E0
1.470930596E2,-2.200529981E1,-4.789755490E1,8.298756215E2,1.200000048E0,1.299999952E0,3.790092468E0,2.500000000E0
1.480935632E2,-2.200528877E1,-4.789755500E1,8.299436221E2,1.269999981E0,3.588999939E2,3.790092468E0,2.500000000E0
1.490934016E2,-2.200527780E1,-4.789755532E1,8.298263202E2,1.279999971E0,3.578999939E2,3.790092468E0,2.500000000E0
1.500931629E2,-2.200526692E1,-4.789755543E1,8.297500335E2,1.200000048E0,3.592999878E2,3.790092468E0,2.500000000E0
1.510930969E2,-2.200525592E1,-4.789755479E1,8.296145420E2,1.250000000E0,3.575000000E2,3.790092468E0,2.500000000E0
1.520930424E2,-2.200524372E1,-4.789755448E1,8.294868642E2,1.259999990E0,3.591000061E2,3.790092468E0,2.500000000E0
1.530937153E2,-2.200523148E1,-4.789755434E1,8.292908272E2,1.340000033E0,3.558999939E2,3.790092468E0,2.500000000E0
1.540937478E2,-2.200521958E1,-4.789755337E1,8.293064589E2,1.350000024E0,2.299999952E0,3.790092468E0,2.500000000E0
1.550938231E2,-2.200520848E1,-4.789755182E1,8.289312203E2,1.259999990E0,4.000000000E0,3.790092468E0,2.500000000E0
1.560939016E2,-2.200519668E1,-4.789755088E1,8.286770766E2,1.269999981E0,5.000000000E-1,3.790092468E0,2.500000000E0
1.570939059E2,-2.200518490E1,-4.789755103E1,8.288279634E2,1.269999981E0,1.000000000E0,3.790092468E0,2.500000000E0
1.580930512E2,-2.200517314E1,-4.789755082E1,8.284009690E2,1.279999971E0,3.590000000E2,3.790092468E0,2.500000000E0
1.590939848E2,-2.200516120E1,-4.789755047E1,8.284467529E2,1.259999990E0,3.576000061E2,3.790092468E0,2.500000000E0
1.600935496E2,-2.200514936E1,-4.789755172E1,8.282483979E2,1.320000052E0,3.532000122E2,3.790092468E0,2.500000000E0
1.610939237E2,-2.200513610E1,-4.789755103E1,8.283500905E2,1.340000033E0,3.599999905E0,3.790092468E0,2.500000000E0
1.620937471E2,-2.200512313E1,-4.789755033E1,8.282144781E2,1.379999995E0,3.575000000E2,3.790092468E0,2.500000000E0
1.630936732E2,-2.200510995E1,-4.789755039E1,8.279111422E2,1.370000005E0,3.547000122E2,3.790092468E0,2.500000000E0
1.640934491E2,-2.200509663E1,-4.789754945E1,8.278471850E2,1.389999986E0,3.593999939E2,3.790092468E0,2.500000000E0
1.650934993E2,-2.200508297E1,-4.789754868E1,8.276941170E2,1.440000057E0,1.200000048E0,3.790092468E0,2.500000000E0
1.660935733E2,-2.200506952E1,-4.789754890E1,8.276223488E2,1.350000024E0,3.543999939E2,3.790092468E0,2.500000000E0
1.670930414E2,-2.200505704E1,-4.789754961E1,8.276432319E2,1.360000014E0,3.546000061E2,3.790092468E0,2.500000000E0
1.680931427E2,-2.200504482E1,-4.789754950E1,8.274263209E2,1.340000033E0,1.100000024E0,3.790092468E0,2.500000000E0
1.690940106E2,-2.200503243E1,-4.789755077E1,8.272219849E2,1.370000005E0,3.561000061E2,3.790092468E0,2.500000000E0
1.700931933E2,-2.200501984E1,-4.789755394E1,8.265641601E2,1.389999986E0,3.586000061E2,3.790092468E0,2.500000000E0
1.710937801E2,-2.200500738E1,-4.789755733E1,8.263807007E2,1.330000043E0,3.502999878E2,3.790092468E0,2.500000000E0
1.720930752E2,-2.200499403E1,-4.789755904E1,8.262668200E2,1.379999995E0,3.555000000E2,3.790092468E0,2.500000000E0
1.730932674E2,-2.200498020E1,-4.789756062E1,8.261464697E2,1.409999967E0,3.520000000E2,3.790092468E0,2.500000000E0
1.740933774E2,-2.200496809E1,-4.789756284E1,8.263925741E2,1.340000033E0,3.493999939E2,3.790092468E0,2.500000000E0
